system:index,elevation,point_id,.geo
000000000000000001f5_0,142,501.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0346948639119375,41.45823768819888]}"
000000000000000001d2_0,295,466.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0837428784248857,41.42320339211822]}"
0000000000000000031e_0,76,798.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.2303479327931655,41.45931566653982]}"
00000000000000000235_0,32,565.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0856293405215354,41.35960267000256]}"
0000000000000000027c_0,6,636.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0346948639119375,41.3186394930467]}"
000000000000000002e9_0,193,745.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1325213983525657,41.45635122610223]}"
000000000000000003d9_0,5,985.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1104228423632208,41.30839869880774]}"
0000000000000000006a_0,4,106.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0578713982422414,41.34774490825218]}"
000000000000000000c3_0,141,195.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1133872828008293,41.47305989038685]}"
0000000000000000026f_0,10,623.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1365638171311048,41.30597324754062]}"
0000000000000000029b_0,4,667.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.106110928999442,41.31567505260911]}"
00000000000000000250_0,206,592.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.2449006403959118,41.47898877126204]}"
00000000000000000281_0,25,641.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.02283710216156,41.391672525645625]}"
000000000000000002aa_0,99,682.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0427797014690157,41.401643825299345]}"
000000000000000001a9_0,101,425.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1802219399393152,41.44907487230086]}"
000000000000000001ac_0,77,428.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1581233839499703,41.497044908472844]}"
0000000000000000031c_0,112,796.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0333473909857673,41.422394908362506]}"
000000000000000000a1_0,217,161.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.079969954231558,41.449613861471335]}"
00000000000000000076_0,161,118.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.148421578881482,41.441529023914256]}"
000000000000000001bb_0,6,443.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.066225730384531,41.333731189819915]}"
0000000000000000012a_0,14,298.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1236280770397684,41.33858209235416]}"
00000000000000000194_0,11,404.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1174297015793684,41.34909238117836]}"
000000000000000003cb_0,235,971.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.280743420232284,41.4959669301319]}"
0000000000000000020d_0,24,525.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.172406596967477,41.36768750755964]}"
0000000000000000037e_0,254,894.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1645912539956385,41.45527324776128]}"
00000000000000000051_0,91,81.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.146265622199593,41.39894887944699]}"
0000000000000000033a_0,314,826.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.105571939828991,41.41808299499874]}"
0000000000000000034c_0,124,844.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.200164539246771,41.48976855467147]}"
000000000000000001a8_0,16,424.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0953311455900234,41.358255197076375]}"
0000000000000000006d_0,140,109.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.0899412538852857,41.48303119004058]}"
000000000000000002ce_0,64,718.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1066499181699214,41.3711909371677]}"
000000000000000000b6_0,42,182.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.181030423695006,41.40892017910072]}"
0000000000000000004f_0,12,79.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.209596849730019,41.41457956539067]}"
0000000000000000039e_0,30,926.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.1923491962749324,41.447188410204205]}"
0000000000000000028a_0,403,650.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.124167066210248,41.42751530548199]}"
0000000000000000006f_0,0,111.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.2322343948898435,41.420777940851096]}"
